name,calories,proteins,fats,carbs
"Голубиный горох, неспелый",136.0,7.2,1.64,18.78
"Голубиный горох, неспелый, вареный, без соли",111.0,5.96,1.36,15.29
"Голубиный горох, неспелый, вареный, с солью",111.0,5.96,1.36,15.29
Горох колотый,364.0,23.12,3.89,39.43
"Горох колотый, вареный, без соли",118.0,8.34,0.39,12.8
"Горох колотый, вареный, с солью",116.0,8.34,0.39,12.21
"Горох лущеный, крупа",299.0,23.0,1.6,48.1
Горох отварной по 1-296,130.0,10.5,0.8,20.4
Горох отварной с копченой грудинкой по 1-298,156.0,8.4,5.7,17.8
"Горох стручковый, вареный, без соли",42.0,3.27,0.23,4.25
"Горох стручковый, вареный, с солью",40.0,3.27,0.23,3.66
"Горох стручковый, замороженный, вареный, без соли",52.0,3.5,0.38,5.92
"Горох стручковый, замороженный, вареный, с солью",50.0,3.5,0.38,5.33
"Горох стручковый, замороженный, неприготовленный",42.0,2.8,0.3,4.1
"Горох стручковый, свежий",42.0,2.8,0.2,4.95
"Горох, зерно цельное",298.0,20.5,2.0,49.5
"Горох, проросшие семена",124.0,8.8,0.68,27.11
"Горох, проросшие семена, вареный, без соли",98.0,7.05,0.51,17.08
"Горох, проросшие семена, вареный, с солью",98.0,7.05,0.51,17.08
Горошек зелёный,81.0,5.42,0.4,8.75
"Горошек зелёный с морковью, консервы",38.0,2.17,0.27,6.48
Горошек зеленый свежий,55.0,5.0,0.2,8.3
Горошек зеленый сушеный,305.0,35.0,0.4,40.5
"Горошек зелёный, вареный, без соли",84.0,5.36,0.22,10.13
"Горошек зелёный, вареный, с солью",84.0,5.36,0.22,10.13
"Горошек зелёный, замороженный",77.0,5.22,0.4,9.12
